Index,FileName,ParentFolders,UUID,DownloadLink,Status
401,"14. Chức năng Style trong Word.mp4","01. Tin học văn phòng/69. MS Word Tổng quan và Định dạng","e217a053dba8881cb6ccb6377116611f","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/e217a053dba8881cb6ccb6377116611f/downloads/default.mp4","Đã có download link, bỏ qua"
402,"11. Thao tác với đoạn văn P1 - Khái niệm đoạn văn, thụt lề, căn lề, dấu đoạn, ngắt d.mp4","01. Tin học văn phòng/69. MS Word Tổng quan và Định dạng","d26dac2b3a837adf94beec6e1a860fae","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/d26dac2b3a837adf94beec6e1a860fae/downloads/default.mp4","Upload & lấy link thành công"
403,"15. Liên kết trong Word. Liên kết Word và Excel.mp4","01. Tin học văn phòng/69. MS Word Tổng quan và Định dạng","8e1c0a344fc181dfc51e64cd69691fa4","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/8e1c0a344fc181dfc51e64cd69691fa4/downloads/default.mp4","Upload & lấy link thành công"
404,"1. Mục đích của khóa học.mp4","01. Tin học văn phòng/70. MS Access Tổng quan và Thao tác bảng","b8c9b5509f5891f2a4b61d88f457947b","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/b8c9b5509f5891f2a4b61d88f457947b/downloads/default.mp4","Upload & lấy link thành công"
405,"3. Giới thiệu về Microsoft Access.mp4","01. Tin học văn phòng/70. MS Access Tổng quan và Thao tác bảng","88941f4d2e801ee9c3f7266928634856","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/88941f4d2e801ee9c3f7266928634856/downloads/default.mp4","Upload & lấy link thành công"
406,"5. Các thành phần trong Microsoft Access.mp4","01. Tin học văn phòng/70. MS Access Tổng quan và Thao tác bảng","6895ca1badd8e29da2647be4b1b0ac19","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/6895ca1badd8e29da2647be4b1b0ac19/downloads/default.mp4","Upload & lấy link thành công"
407,"6. Tạo dữ liệu đầu tiên và tìm hiểu về khóa chính.mp4","01. Tin học văn phòng/70. MS Access Tổng quan và Thao tác bảng","7ab2e937314a1fd90e288a49bb3b303d","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/7ab2e937314a1fd90e288a49bb3b303d/downloads/default.mp4","Upload & lấy link thành công"
408,"7. Tạo bảng biểu với các kiểu dữ liệu khác nhau.mp4","01. Tin học văn phòng/70. MS Access Tổng quan và Thao tác bảng","b9a806c07cd06cdea61a62d18d5bba09","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/b9a806c07cd06cdea61a62d18d5bba09/downloads/default.mp4","Upload & lấy link thành công"
409,"8. Nhập liệu và định dạng đơn giản.mp4","01. Tin học văn phòng/70. MS Access Tổng quan và Thao tác bảng","c12940998d6bf01e14b6c1898c4a29af","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/c12940998d6bf01e14b6c1898c4a29af/downloads/default.mp4","Upload & lấy link thành công"
410,"9. Tạo danh sách nhập liệu phụ thuộc vào nhau (1).mp4","01. Tin học văn phòng/70. MS Access Tổng quan và Thao tác bảng","24afb8411c172adc6704f09a3c605344","https://customer-b1yjiwzp0to125ef.cloudflarestream.com/24afb8411c172adc6704f09a3c605344/downloads/default.mp4","Upload & lấy link thành công"
